ts_code	name	industry	close	pct_chg	主力流入(万元)
000001.SZ	平安银行	银行	9.21	-1.9169	46715.54
000002.SZ	万科A	全国地产	10.15	-2.9637	27337.47
000004.SZ	*ST国华	软件服务	16.14	0.062	625.86
000006.SZ	深振业A	区域地产	4.47	-2.6144	3534.71
000007.SZ	全新好	其他商业	4.84	-0.616	0.0
000008.SZ	神州高铁	运输设备	2.38	0.8475	1580.9499999999998
000009.SZ	中国宝安	电气设备	11.69	-0.4259	4464.97
000010.SZ	美丽生态	建筑工程	3.23	1.5723	891.0
000011.SZ	深物业A	房产服务	8.83	-0.3386	355.85
000012.SZ	南玻A	玻璃	5.58	0.1795	1049.9
000014.SZ	沙河股份	全国地产	11.32	2.8156	3485.13
000016.SZ	深康佳A	家用电器	4.03	-3.3573	10161.84
000017.SZ	深中华A	服饰	4.43	1.8391	267.23
000019.SZ	深粮控股	农业综合	7.63	1.1936	811.88
000020.SZ	深华发A	元器件	12.96	0.0772	277.34
000021.SZ	深科技	元器件	15.81	-2.4676	7986.0
000025.SZ	特力A	综合类	16.05	0.8799	609.91
000026.SZ	飞亚达	服饰	11.03	0.6387	368.47
000027.SZ	深圳能源	火力发电	6.31	-2.1705	9469.490000000002
000028.SZ	国药一致	医药商业	29.57	2.0007	4562.2
000029.SZ	深深房A	区域地产	11.52	-2.0408	259.22
000030.SZ	富奥股份	汽车配件	5.38	0.7491	2093.1400000000003
000031.SZ	大悦城	全国地产	2.92	-1.6835	1243.6799999999998
000032.SZ	深桑达A	建筑工程	20.52	-3.1161	10736.810000000001
000034.SZ	神州数码	软件服务	29.25	-2.2066	13438.84
000035.SZ	中国天楹	环境保护	4.95	0.2024	4563.6900000000005
000036.SZ	华联控股	全国地产	3.72	-4.3702	1447.94
000037.SZ	深南电A	火力发电	8.42	2.4331	991.0500000000001
000039.SZ	中集集团	运输设备	7.83	2.3529	4709.21
000042.SZ	中洲控股	全国地产	5.62	-2.0906	675.77
000045.SZ	深纺织A	元器件	11.96	1.3559	3125.22
000048.SZ	京基智农	农业综合	17.78	-2.8415	2541.6800000000003
000049.SZ	德赛电池	电气设备	26.68	-1.6224	1230.99
000050.SZ	深天马A	元器件	10.43	-2.0657	1258.99
000055.SZ	方大集团	其他建材	4.55	0.6637	256.84
000056.SZ	皇庭国际	其他商业	3.69	-0.2703	2891.5200000000004
000058.SZ	深赛格	商品城	7.2	0.4184	1110.6
000059.SZ	华锦股份	石油加工	5.61	2.1858	1527.3899999999999
000060.SZ	中金岭南	铅锌	4.37	1.1574	7188.4800000000005
000061.SZ	农产品	农业综合	6.48	0.1546	571.11
000062.SZ	深圳华强	元器件	11.26	-0.0887	264.0
000063.SZ	中兴通讯	通信设备	25.6	-3.3233	120055.51000000001
000065.SZ	北方国际	建筑工程	11.25	0.2674	2020.9699999999998
000066.SZ	中国长城	IT设备	10.01	-1.087	8036.57
000068.SZ	华控赛格	环境保护	3.59	1.4124	388.9
000069.SZ	华侨城A	全国地产	3.03	-2.5723	4710.93
000070.SZ	特发信息	通信设备	7.89	-0.6297	2397.09
000078.SZ	海王生物	医药商业	3.16	0.6369	1708.71
000088.SZ	盐田港	港口	4.93	1.0246	1008.9300000000001
000089.SZ	深圳机场	机场	6.41	-0.311	1093.97
000090.SZ	天健集团	建筑工程	4.53	-1.5217	4234.09
000096.SZ	广聚能源	石油贸易	11.86	2.3296	1845.99
000099.SZ	中信海直	空运	8.78	-0.2273	7968.55
000100.SZ	TCL科技	元器件	4.27	-0.6977	52278.09
000151.SZ	中成股份	商贸代理	11.36	0.2648	1496.1200000000001
000153.SZ	丰原药业	化学制药	9.45	0.8538	1343.35
000155.SZ	川能动力	新型电力	13.33	0.301	9680.609999999999
000156.SZ	华数传媒	影视音像	7.46	1.2212	2479.88
000157.SZ	中联重科	工程机械	6.63	1.5314	6242.62
000158.SZ	常山北明	软件服务	8.48	-1.6241	9681.85
000159.SZ	国际实业	石油贸易	6.55	0.9245	341.12
000166.SZ	申万宏源	证券	4.37	-1.5766	9567.130000000001
000301.SZ	东方盛虹	化纤	9.56	-0.4167	3999.6800000000003
000333.SZ	美的集团	家用电器	54.56	-0.1281	40858.7
000338.SZ	潍柴动力	汽车配件	13.88	1.685	23577.11
000400.SZ	许继电气	电气设备	22.08	0.5464	5033.509999999999
000401.SZ	金隅冀东	水泥	6.37	-0.313	814.39
000402.SZ	金融街	全国地产	3.57	-1.6529	1840.24
000403.SZ	派林生物	生物制药	27.71	1.7254	6560.030000000001
000404.SZ	长虹华意	家用电器	6.02	2.2071	857.18
000407.SZ	胜利股份	供气供热	3.75	3.5912	1731.44
000408.SZ	藏格矿业	农药化肥	25.95	2.4073	9199.55
000409.SZ	云鼎科技	软件服务	9.13	-1.4039	7208.42
000410.SZ	沈阳机床	机床制造	7.0	0.8646	502.46
000411.SZ	英特集团	医药商业	11.35	1.2489	779.99
000415.SZ	渤海租赁	多元金融	2.12	-0.9346	2693.8599999999997
000417.SZ	合百集团	百货	5.03	0.8016	1917.8
000419.SZ	通程控股	百货	5.76	2.4911	1060.35
000420.SZ	吉林化纤	化纤	2.93	0.6873	1120.9
000421.SZ	南京公用	供气供热	6.85	-2.0029	3567.9300000000003
000422.SZ	湖北宜化	农药化肥	10.54	0.7648	10595.72
000423.SZ	东阿阿胶	中成药	50.0	1.3788	6210.77
000425.SZ	徐工机械	工程机械	5.61	2.7473	17976.69
000426.SZ	兴业银锡	铅锌	9.11	0.3304	5137.57
000428.SZ	华天酒店	酒店餐饮	4.12	0.9804	932.89
000429.SZ	粤高速A	路桥	8.59	1.5366	920.6
000430.SZ	ST张家界	旅游景点	6.65	2.1505	187.62
000488.SZ	ST晨鸣	造纸	3.89	0.2577	1003.2
000498.SZ	山东路桥	建筑工程	5.62	-0.3546	1812.8999999999999
000501.SZ	武商集团	百货	8.49	-0.3521	954.99
000503.SZ	国新健康	软件服务	12.83	-2.6555	8271.960000000001
000504.SZ	*ST生物	医疗保健	11.8	1.7241	709.88
000505.SZ	京粮控股	食品	6.91	1.0234	418.09999999999997
000506.SZ	招金黄金	黄金	4.17	0.9685	2358.09
000507.SZ	珠海港	新型电力	5.37	2.0913	1393.6000000000001
000509.SZ	华塑控股	元器件	4.05	0.9975	822.13
000510.SZ	新金路	化工原料	5.75	1.4109	2569.54
000513.SZ	丽珠集团	化学制药	35.18	0.4856	4479.6
000514.SZ	渝开发	区域地产	4.11	-1.4388	825.36
000516.SZ	国际医学	医疗保健	8.09	-0.2466	2032.5
000517.SZ	荣安地产	区域地产	2.43	-0.8163	867.1499999999999
000518.SZ	*ST四环	生物制药	3.34	0.6024	1088.65
000519.SZ	中兵红箭	专用机械	14.09	0.3561	7164.41
000520.SZ	凤凰航运	水运	2.86	3.2491	1362.3999999999999
000521.SZ	长虹美菱	家用电器	5.78	2.6643	2662.15
000523.SZ	红棉股份	食品	3.11	-0.9554	1974.1599999999999
000524.SZ	岭南控股	旅游服务	9.05	1.5713	1480.72
000525.SZ	红太阳	农药化肥	8.48	-0.5862	301.42
000526.SZ	学大教育	文教休闲	49.9	-0.18	2331.6
000528.SZ	柳工	工程机械	6.73	-0.1484	1611.1499999999999
000529.SZ	广弘控股	食品	6.96	2.5037	1156.07
000530.SZ	冰山冷热	机械基件	5.47	2.4345	921.62
000531.SZ	穗恒运A	火力发电	6.79	1.4948	721.79
000532.SZ	华金资本	多元金融	11.95	-0.3336	1414.22
000533.SZ	顺钠股份	电气设备	4.81	2.5586	4640.52
000534.SZ	万泽股份	生物制药	13.03	-0.4584	269.78
000536.SZ	华映科技	元器件	3.75	-4.0921	11520.310000000001
000537.SZ	中绿电	新型电力	9.75	1.2461	2498.6899999999996
000538.SZ	云南白药	中成药	49.32	0.3459	5277.44
000539.SZ	粤电力A	火力发电	5.0	2.2495	4735.49
000541.SZ	佛山照明	家用电器	6.43	-3.3083	2261.86
000543.SZ	皖能电力	火力发电	6.59	5.2716	6333.78
000544.SZ	中原环保	环境保护	7.11	2.4496	493.93
000545.SZ	金浦钛业	化工原料	3.09	1.9802	223.24
000546.SZ	金圆股份	环境保护	8.56	1.3018	7724.969999999999
000547.SZ	航天发展	通信设备	8.4	0.3584	2493.67
000548.SZ	湖南投资	路桥	5.61	2.9358	1311.93
000550.SZ	江铃汽车	汽车整车	19.05	0.1051	2384.5
000551.SZ	创元科技	专用机械	10.68	2.0057	1162.78
000552.SZ	甘肃能化	煤炭开采	3.1	1.6393	5267.17
000553.SZ	安道麦A	农药化肥	6.9	-0.5764	114.16
000554.SZ	泰山石油	石油贸易	5.88	1.9064	615.48
000555.SZ	神州信息	软件服务	11.16	-1.1515	1435.71
000557.SZ	西部创业	铁路	4.91	1.6563	1028.78
000558.SZ	天府文旅	旅游景点	2.97	1.3652	2533.38
000559.SZ	万向钱潮	汽车配件	5.18	-0.1927	2018.95
000560.SZ	我爱我家	房产服务	2.22	-1.3333	2138.29
000561.SZ	烽火电子	通信设备	8.61	2.5	1341.63
000563.SZ	陕国投A	多元金融	3.04	0.0	2487.83
000564.SZ	供销大集	百货	1.43	-2.0548	6748.55
000565.SZ	渝三峡A	染料涂料	6.39	1.2678	160.7
000566.SZ	海南海药	化学制药	4.57	1.1062	1149.43
000567.SZ	海德股份	多元金融	10.84	1.9755	1730.78
000568.SZ	泸州老窖	白酒	172.87	-3.6507	73194.34
