ts_code	name	industry	close	pct_chg	主力流入(万元)	code_prefix
300071.SZ	福石控股	广告包装	5.08	20.0946	42081.270000000004	300
300300.SZ	海峡创新	软件服务	10.25	20.0234	114935.97	300
688095.SH	福昕软件	软件服务	107.4	20.0	47369.259999999995	688
301231.SZ	荣信文化	出版业	39.6	20.0	23285.260000000002	301
688336.SH	三生国健	生物制药	72.96	20.0	37746.66	688
300204.SZ	舒泰神	生物制药	38.3	19.9875	124725.19	300
301122.SZ	采纳股份	医疗保健	30.38	19.9842	10226.91	301
301207.SZ	华兰疫苗	生物制药	21.95	17.884	17067.47	301
301292.SZ	海科新源	化工原料	36.25	17.6948	97965.27	301
300086.SZ	康芝药业	化学制药	8.74	17.4731	41711.21	300
688266.SH	泽璟制药-U	生物制药	103.88	16.1449	20829.14	688
688382.SH	益方生物-U	生物制药	30.3	15.2968	22893.3	688
920237.BJ	力佳科技	电气设备	30.7	13.9147	0.0	920
920735.BJ	德源药业	化学制药	41.3	13.0887	0.0	920
920344.BJ	三元基因	生物制药	29.5	13.0701	0.0	920
920953.BJ	国子软件	软件服务	44.7	11.75	0.0	920
301550.SZ	斯菱股份	汽车配件	129.03	10.8505	52562.479999999996	301
000826.SZ	启迪环境	环境保护	2.49	10.177	23185.760000000002	000
002522.SZ	浙江众成	塑料	5.13	10.0858	11943.39	002
600067.SH	冠城新材	电气设备	3.93	10.084	19011.8	600
600469.SH	风神股份	汽车配件	6.99	10.0787	16363.220000000001	600
002636.SZ	金安国纪	元器件	16.45	10.0334	51609.2	002
002317.SZ	众生药业	中成药	19.32	10.0228	72487.06	002
002181.SZ	粤传媒	出版业	10.54	10.0209	45103.770000000004	002
603823.SH	百合花	染料涂料	16.03	10.0206	7051.58	603
601360.SH	三六零	互联网	11.97	10.0184	260194.55	601
000892.SZ	欢瑞世纪	影视音像	7.14	10.0154	58503.74	000
600635.SH	大众公用	供气供热	7.47	10.0147	158316.34	600
603001.SH	奥康国际	服饰	9.01	10.0122	7008.219999999999	603
603955.SH	大千生态	建筑工程	34.73	10.0095	4663.13	603
600513.SH	联环药业	化学制药	21.77	10.0051	43327.86	600
605178.SH	时空科技	装修装饰	69.83	10.0032	139060.29	605
603929.SH	亚翔集成	装修装饰	42.46	10.0	12490.400000000001	603
601019.SH	山东出版	出版业	8.36	10.0	28338.940000000002	601
603185.SH	弘元绿能	电气设备	29.48	10.0	46638.83	603
603159.SH	上海亚虹	专用机械	25.52	10.0	4710.219999999999	603
600326.SH	西藏天路	水泥	12.76	10.0	71692.56	600
603122.SH	合富中国	医药商业	9.79	10.0	19835.46	603
000572.SZ	海马汽车	汽车整车	6.6	10.0	62550.36	000
002653.SZ	海思科	化学制药	56.65	10.0	22125.010000000002	002
603697.SH	有友食品	食品	12.98	10.0	9814.33	603
002812.SZ	恩捷股份	电气设备	48.52	9.9977	196388.62	002
603755.SH	日辰股份	食品	38.4	9.9971	7641.19	603
605133.SH	嵘泰股份	汽车配件	43.14	9.9949	29341.629999999997	605
002940.SZ	昂利康	化学制药	39.73	9.9945	47072.619999999995	002
603489.SH	八方股份	电气设备	27.96	9.9921	8488.96	603
000559.SZ	万向钱潮	汽车配件	12.55	9.9912	103026.73	000
603686.SH	福龙马	环境保护	30.94	9.9893	92518.1	603
002370.SZ	亚太药业	化学制药	7.93	9.9861	60569.55	002
002759.SZ	天际股份	电气设备	30.84	9.9857	102842.78	002
603903.SH	中持股份	环境保护	14.98	9.9853	8344.92	603
001330.SZ	博纳影业	影视音像	6.83	9.9839	22944.13	001
003036.SZ	泰坦股份	纺织机械	20.16	9.9836	11114.28	003
603629.SH	利通电子	元器件	26.77	9.9836	19671.79	603
001203.SZ	大中矿业	普钢	19.5	9.9831	95677.95999999999	001
603190.SH	亚通精工	汽车配件	25.23	9.9826	11861.09	603
002679.SZ	福建金森	林业	14.0	9.9764	12957.75	002
002790.SZ	瑞尔特	家居用品	12.02	9.9726	8742.87	002
002787.SZ	华源控股	广告包装	11.36	9.971	13540.31	002
000700.SZ	模塑科技	汽车配件	10.15	9.9675	49224.009999999995	000
603876.SH	鼎胜新材	铝	12.8	9.9656	60383.36	603
000592.SZ	平潭发展	林业	7.08	9.9379	171744.41999999998	000
605155.SH	西大门	家居用品	17.04	9.9355	15118.43	605
000955.SZ	欣龙控股	纺织	6.2	9.9291	12849.509999999998	000
600439.SH	瑞贝卡	服饰	3.11	9.894	9654.01	600
600666.SH	奥瑞德	元器件	3.56	9.8765	40077.05	600
600654.SH	中安科	仓储物流	3.56	9.8765	17451.21	600
002374.SZ	中锐股份	广告包装	3.34	9.8684	34580.89	002
920152.BJ	昆工科技	小金属	25.85	9.5339	0.0	920
603301.SH	振德医疗	医疗保健	95.0	9.07	51464.06	603
301488.SZ	豪恩汽电	汽车配件	155.99	8.5148	44027.74	301
301459.SZ	丰茂股份	汽车配件	43.79	8.3911	5840.900000000001	301
002836.SZ	新宏泽	广告包装	12.8	8.3827	14992.550000000001	002
002163.SZ	海南发展	装修装饰	13.06	8.3817	83050.96	002
301027.SZ	华蓝集团	建筑工程	17.84	8.1212	8530.17	301
301213.SZ	观想科技	软件服务	58.37	8.0926	10516.85	301
002611.SZ	东方精工	轻工机械	19.0	7.9545	289683.26	002
603416.SH	信捷电气	电器仪表	57.55	7.8725	6553.14	603
002315.SZ	焦点科技	互联网	47.35	7.8342	27781.300000000003	002
603171.SH	税友股份	软件服务	52.27	7.6622	32724.96	603
603367.SH	辰欣药业	化学制药	21.21	7.5558	17557.43	603
000796.SZ	凯撒旅业	旅游服务	6.55	7.5534	53734.09	000
002294.SZ	信立泰	化学制药	59.61	7.4054	23480.44	002
603590.SH	康辰药业	生物制药	50.5	7.3783	2823.56	603
002756.SZ	永兴材料	小金属	49.16	7.2894	191655.47999999998	002
002755.SZ	奥赛康	化学制药	19.47	7.2137	12335.22	002
000681.SZ	视觉中国	互联网	21.6	7.196	140045.26	000
002407.SZ	多氟多	化工原料	28.4	7.1698	386016.57999999996	002
301279.SZ	金道科技	工程机械	26.34	7.1603	6443.13	301
603918.SH	金桥信息	软件服务	17.88	7.13	13796.09	603
002155.SZ	湖南黄金	黄金	21.74	7.0936	234450.99	002
600064.SH	南京高科	园区开发	9.22	7.0848	26751.760000000002	600
603933.SH	睿能科技	元器件	22.59	7.0616	25200.67	603
002020.SZ	京新药业	化学制药	18.84	7.0455	13311.81	002
600329.SH	达仁堂	中成药	45.13	7.0192	38610.64	600
301333.SZ	诺思格	医疗保健	68.59	7.0047	17175.73	301
002955.SZ	鸿合科技	IT设备	29.91	6.936	13443.15	002
001301.SZ	尚太科技	电气设备	99.4	6.8587	70740.07	001
603533.SH	掌阅科技	互联网	20.8	6.7214	10871.699999999999	603
603043.SH	广州酒家	食品	17.01	6.6458	4583.29	603
301190.SZ	善水科技	染料涂料	25.25	6.5851	5885.91	301
600301.SH	华锡有色	小金属	32.1	6.5737	20244.75	600
603822.SH	嘉澳环保	化工原料	93.14	6.5553	10764.8	603
603108.SH	润达医疗	医药商业	16.87	6.5025	18777.92	603
603181.SH	皇马科技	化工原料	18.22	6.4252	11303.539999999999	603
603558.SH	健盛集团	纺织	12.1	6.4204	2892.49	603
002108.SZ	沧州明珠	塑料	4.66	6.3927	66855.86	002
000596.SZ	古井贡酒	白酒	161.0	6.3759	66288.25	000
002131.SZ	利欧股份	互联网	5.34	6.3745	225967.29	002
600835.SH	上海机电	运输设备	27.1	6.3579	27598.43	600
920047.BJ	诺思兰德	生物制药	26.49	6.3002	0.0	920
002091.SZ	江苏国泰	商贸代理	9.34	6.2571	48624.55	002
600094.SH	大名城	区域地产	5.48	6.2016	14148.189999999999	600
002326.SZ	永太科技	化工原料	19.48	6.158	148459.91	002
603040.SH	新坐标	汽车配件	78.72	6.1489	8466.779999999999	603
603815.SH	交建股份	建筑工程	13.85	6.1303	9488.960000000001	603
301171.SZ	易点天下	互联网	30.84	6.0888	67309.87	301
000753.SZ	漳州发展	综合类	8.55	6.0794	35132.56	000
600082.SH	海泰发展	园区开发	4.72	6.0674	2294.84	600
603859.SH	能科科技	软件服务	46.77	6.0063	19115.06	603
002695.SZ	煌上煌	食品	12.71	6.005	6748.76	002
601595.SH	上海电影	影视音像	30.05	5.9965	12588.95	601
002492.SZ	恒基达鑫	仓储物流	8.5	5.985	4312.33	002
002444.SZ	巨星科技	轻工机械	30.83	5.9814	34450.3	002
000036.SZ	华联控股	全国地产	4.09	5.9585	6209.34	000
600480.SH	凌云股份	汽车配件	13.18	5.9486	16787.19	600
920445.BJ	龙竹科技	家居用品	13.98	5.9091	0.0	920
002431.SZ	棕榈股份	建筑工程	2.51	5.9072	11692.84	002
603638.SH	艾迪精密	专用机械	18.71	5.8857	3505.54	603
603906.SH	龙蟠科技	电气设备	17.87	5.8649	60496.979999999996	603
002847.SZ	盐津铺子	食品	73.36	5.8586	16355.970000000001	002
301036.SZ	双乐股份	染料涂料	34.08	5.8385	4817.15	301
603027.SH	千禾味业	食品	9.27	5.8219	5173.219999999999	603
603619.SH	中曼石油	石油开采	20.95	5.8081	17120.63	603
301150.SZ	中一科技	电气设备	44.54	5.7957	36479.54	301
002164.SZ	宁波东力	机械基件	13.93	5.7707	22342.760000000002	002
603198.SH	迎驾贡酒	白酒	42.38	5.7385	18148.7	603
601089.SH	福元医药	化学制药	23.06	5.7313	4199.92	601
920834.BJ	三维装备	塑料	17.72	5.7279	0.0	920
